run_family,model_line,model_role,condition,run_id,config_path,config_sha256,authoritative_status
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 2B,base,zero_shot,run_base_20260627_211410,configs/eval_qwen35_2b_base_zero_shot_full_aliasnames.json,298d17aedea37a860b42e48e2b6718402e811f62ad85480331b1e8d9e770add7,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 2B,lora_v2,zero_shot,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_083452,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_zero_shot_maxinput2048_full_aliasnames.json,8a3785a2efb9d4d6a53cc8334115907d01a1cc38d28f17ab6dbeed9662511718,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Llama 3.2 3B Instruct,base,zero_shot,run_base_20260714_162526,configs/eval_llama32_3b_instruct_base_zero_shot_maxinput2048_full_aliasnames.json,b06e89e06cc4bfe87f2f74a12a737386aa49524507166c60d8ba16a622610763,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Llama 3.2 3B Instruct,lora_v2,zero_shot,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_215808,configs/eval_llama32_3b_instruct_lora_v2_old25k_r8_alpha16_mixedval2500_v2_zero_shot_maxinput2048_full_aliasnames.json,8d0de1fa0d169924bfadd3ae7584bd42359f6ebcb2008827f936a57732f79be0,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 9B,base,zero_shot,run_base_20260624_221131,configs/archive/eval_spider_qwen35_9b_base_anti_overjoin_full_qwen_sqlctx_chatml_aliasnames.json,a7bbd5fb2af01623a26e7c6498c72590bdf4e04bfbb6fa9fe0bf7610b6d04003,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 9B,lora_v2,zero_shot,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260713_120126,configs/eval_qwen35_9b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_zero_shot_maxinput2048_full_aliasnames.json,6e642ae09d7641570df3a8340b2c02cc4f6d15ea07a569db6407892160f08d85,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 2B,base,top1,run_base_20260712_171240,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,1fc6fb46af7266f839a507b17fc485d77272fdf69c5a5e06169227a7552d1ab9,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 2B,lora_v2,top1,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,b1f4c4b99afc69dff277dba2b9b61d1c4b2c608d3b8958a025e8d8ec53d50535,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Llama 3.2 3B Instruct,base,top1,run_base_20260714_164116,configs/eval_llama32_3b_instruct_base_dynamic_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,cd638753720cd43a32396331f246fec03858992b68999025b8944205aa0a28bc,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Llama 3.2 3B Instruct,lora_v2,top1,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_222657,configs/eval_llama32_3b_instruct_lora_v2_old25k_r8_alpha16_mixedval2500_v2_dynamic_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,5c02652cb2b51211224a0321db890f441c4786f778a8c1032633bb6d5aa69e79,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 9B,base,top1,run_base_20260712_143438,configs/eval_qwen35_9b_base_dynamic_fewshot_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,0fd0dc9e7e983da43ce2751481d2596ca8c9a5cd5213252e1e8f904ad0314a48,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 9B,lora_v2,top1,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260713_125744,configs/eval_qwen35_9b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,c2c0bc5fd13265451765ec8d4b4537b0f41be8d6efec3c310fd8f4012391d4f0,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 2B,base,top1_gate070,run_base_20260712_183739,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top1_k1_full_schema_similarity_gate070_maxinput2048_full_aliasnames.json,fbece6096a91a564e94be62b98a9834407fa2722c2d72e057252c4ad99e33bd5,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 2B,lora_v2,top1_gate070,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_095759,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top1_gate070_k1_full_schema_maxinput2048_full_aliasnames.json,14596e5351f43f6afc249c351eac8e553b704c37969ab38540dd8b91de3b673e,COMPLETE_VALID
PRE_K3_AUTHORITATIVE_BASELINE,Llama 3.2 3B Instruct,base,top1_gate070,run_base_20260714_165432,configs/eval_llama32_3b_instruct_base_dynamic_bge_large_top1_gate070_k1_full_schema_maxinput2048_full_aliasnames.json,dadd1f60b8aed6b5baf93e87c5f081e5321b0b1220ed9249d6456163ea77f23e,COMPLETE_VALID
